"uid","name","diocese","province","honigmann_page_number","hierokles_section_and_line_numbers","external_references"
83,"Herakleia Strymonos","Illyrikon","Makedonia I",15,"639,9","BA 50 D2"
84,"Serrai","Illyrikon","Makedonia I",15,"639,10","BA 51 B2 Sirra"
85,"Philippoi","Illyrikon","Makedonia I",15,"640,1","BA 51 C2"
86,"Amphipolis","Illyrikon","Makedonia I",15,"640,2","BA 51 B3"
87,"Apollonia","Illyrikon","Makedonia I",15,"640,3","BA 50 D3"
88,"Neapolis","Illyrikon","Makedonia I",15,"640,4","BA 51 C3"
89,"Akanthos","Illyrikon","Makedonia I",15,"640,5","BA 51 B4"
90,"Berge","Illyrikon","Makedonia I",15,"640,6","BA 51 B3"
91,"Aralos","Illyrikon","Makedonia I",15,"640,7","BA 50 D2 Ar(r)olos"
92,"Klima Mestikon","Illyrikon","Makedonia I",15,"640,8a","TIR Philippi 32; Unloc"
93,"Akontisma","Illyrikon","Makedonia I",15,"640,8b","BA 51 D3"
94,"Nesos Thasos","Illyrikon","Makedonia I",15,"640,9","BA 51 D3"
95,"Nesos Samothrake","Illyrikon","Makedonia I",15,"640,10","BA 51 F4"
96,"Makedonia II","Illyrikon","Makedonia II",15,"641,1","BA 102 D3"
97,"Stoboi","Illyrikon","Makedonia II",15,"641,2","BA 50 A1"
98,"Argos","Illyrikon","Makedonia II",15,"641,3","BA 50 A1"
99,"Aistraion","Illyrikon","Makedonia II",15,"641,4","BA 50 B1 Astraia?"
100,"Pelagonia","Illyrikon","Makedonia II",15,"641,5","BA 49 D2"
101,"Bargala","Illyrikon","Makedonia II",16,"641,6","BA 50 B1"
102,"Kelainidion","Illyrikon","Makedonia II",16,"641,7","BA 50 Kelenidin; Unloc"
103,"Harmonia","Illyrikon","Makedonia II",16,"641,8","BA 50 Unloc"
104,"Zapara","Illyrikon","Makedonia II",16,"641,9","BA 50 Unloc"
105,"Thessalia","Illyrikon","Thessalia",16,"642,1","BA 102 D4"
106,"Larissa","Illyrikon","Thessalia",16,"642,2","BA 55 C1"
107,"Demetrias","Illyrikon","Thessalia",16,"642,3","BA 55 D2"
108,"Thebai","Illyrikon","Thessalia",16,"642,4","BA 55 D2"
109,"Echinos","Illyrikon","Thessalia",16,"642,5","BA 55 D3"
110,"Lamia","Illyrikon","Thessalia",16,"642,6","BA  55 C3"
111,"Hypata","Illyrikon","Thessalia",16,"642,7","BA 55 C3"
112,"Metropolis","Illyrikon","Thessalia",16,"642,8","BA 55 B2"
113,"Trikke","Illyrikon","Thessalia",16,"642,9","BA 55 B1"
114,"Gomphoi","Illyrikon","Thessalia",16,"642,10","BA 55 B2"
115,"Kaisareia","Illyrikon","Thessalia",16,"642,11","Papazoglou, Villes 248-49; Unloc"
116,"Diokletianoupolis","Illyrikon","Thessalia",16,"642,12","BA 49 D3; Papazoglou, Villes 238-39, 440"
117,"Pharsalos","Illyrikon","Thessalia",16,"642,13","BA 55 C2"
118,"Saltos Bouramesios","Illyrikon","Thessalia",16,"643,1","Unloc"
119,"Saltos Iobios","Illyrikon","Thessalia",16,"643,2","Unloc"
120,"Nesos Skiathos","Illyrikon","Thessalia",16,"643,3","BA 55 E2"
121,"Skopelos","Illyrikon","Thessalia",16,"643,4","BA 55 F2 Peparethos"
122,"Nesos Peparethos","Illyrikon","Thessalia",16,"643,5","BA 55 F2"
123,"Hellas","Illyrikon","Hellas",16,"643,6","BA 102 D4"
124,"Skarpheia","Illyrikon","Hellas",16,"643,7","BA 55 D3"
125,"Elateia","Illyrikon","Hellas",16,"643,8","BA 55 D3"
126,"Boion","Illyrikon","Hellas",16,"643,9a","BA 55 C3"
127,"Drymia","Illyrikon","Hellas",16,"643,9b","BA 55 D3"
128,"Daulis","Illyrikon","Hellas",16,"643,10","BA 55 D3"
129,"Chaironeia","Illyrikon","Hellas",17,"643,11","BA 55 D4"
130,"Naupactos","Illyrikon","Hellas",17,"643,12","BA 55 B4"
131,"Delphoi","Illyrikon","Hellas",17,"643,13","BA 55 D4"
132,"Amphissa","Illyrikon","Hellas",17,"644,1","BA 55 C3"
133,"Tithora","Illyrikon","Hellas",17,"644,2","BA 55 D3"
134,"Ambrosos","Illyrikon","Hellas",17,"644,3","BA 55 D4"
135,"Antikyra","Illyrikon","Hellas",17,"644,4","BA 55 D4"
136,"Lebadeia","Illyrikon","Hellas",17,"644,5","BA 55 D4"
137,"Koroneia","Illyrikon","Hellas",17,"644,6","BA 55 D4"
138,"Stiris","Illyrikon","Hellas",17,"644,7","BA 55 D4"
139,"Opous","Illyrikon","Hellas",17,"644,8","BA 55 E3"
140,"Anastasis","Illyrikon","Hellas",17,"644,9","TIB Hellas 122; Unloc"
141,"Aidepsos","Illyrikon","Hellas",17,"644,10","BA 55 E3"
142,"Nesos Euboia","Illyrikon","Hellas",17,"644,11","BA 55 E3"
143,"Anthedon","Illyrikon","Hellas",17,"644,12","BA 55 E4"
144,"Boumelita","Illyrikon","Hellas",17,"645,1","BA 55 E3"
145,"Thespiai","Illyrikon","Hellas",17,"645,2","BA 55 E4"
146,"Hyettos","Illyrikon","Hellas",17,"645,3a","BA 55 E3"
147,"Thisbai","Illyrikon","Hellas",17,"645,3b","BA 55 D4"
148,"Thebai","Illyrikon","Hellas",17,"645,4","BA 55 E4"
149,"Tanagra","Illyrikon","Hellas",17,"645,5","BA 55 F4"
150,"Chalkis","Illyrikon","Hellas",17,"645,6","BA 55 B4"
151,"Porthmos","Illyrikon","Hellas",17,"645,7","BA 55 G4"
152,"Karystos","Illyrikon","Hellas",17,"645,8","BA 58 G1"
153,"Plataiai","Illyrikon","Hellas",17,"645,9","BA 55 E4"
154,"Aigosthena","Illyrikon","Hellas",17,"645,10","BA 58 E1"
155,"Athenai","Illyrikon","Hellas",17,"645,11","BA 58 F2"
156,"Megara","Illyrikon","Hellas",17,"645,12","BA 58 E2"
157,"Pagai","Illyrikon","Hellas",17,"645,13","BA 58 E1"
158,"Krommyon","Illyrikon","Hellas",17,"645,14","BA 58 E2"
159,"Aigina Nesos","Illyrikon","Hellas",17,"645,15","BA 58 F2"
160,"Pityoussa","Illyrikon","Hellas",17,"646,1","BA 58 E3"
161,"Kea","Illyrikon","Hellas",17,"646,2","BA 58 G2"
162,"Kythnos","Illyrikon","Hellas",17,"646,3","BA 58 G3"
163,"Delos","Illyrikon","Hellas",17,"646,4","BA 61 A3"
164,"Skyros","Illyrikon","Hellas",17,"646,5","BA 55 H3"
165,"Salamis Nesos","Illyrikon","Hellas",17,"646,6","BA 58 E2"
166,"Korinthos","Illyrikon","Hellas",18,"646,7","BA 58 D2"
167,"Nemea","Illyrikon","Hellas",18,"646,8a","BA 58 D2"
168,"Sikyon","Illyrikon","Hellas",18,"646,8b","BA 58 D2"
169,"Aigeira","Illyrikon","Hellas",18,"646,9","BA 58 C1"
170,"Aigion","Illyrikon","Hellas",18,"646,10","BA 58 C1"
171,"Methana","Illyrikon","Hellas",18,"646,11","BA 58 E2"
172,"Troizen","Illyrikon","Hellas",18,"647,1","BA 58 E3"
173,"Epidauros","Illyrikon","Hellas",18,"647,2","BA 58 E2"
174,"Hermione","Illyrikon","Hellas",18,"647,3","BA 58 E3"
175,"Argos","Illyrikon","Hellas",18,"647,4","BA 58 D2"
176,"Tegea","Illyrikon","Hellas",18,"647,5","BA 58 C3"
177,"Thelpousa","Illyrikon","Hellas",18,"647,6","BA 58 B2"
178,"Mantineia","Illyrikon","Hellas",18,"647,7","BA 58 C2"
179,"Lakedaimon","Illyrikon","Hellas",18,"647,8","BA 58 C3 Sparta"
180,"Geronthrai","Illyrikon","Hellas",18,"647,9","BA 58 D4"
181,"Pharis","Illyrikon","Hellas",18,"647,10","BA 58 C3"
182,"Asopos","Illyrikon","Hellas",18,"647,11","BA 58 D4"
183,"Akreai","Illyrikon","Hellas",18,"647,12","BA 58 D4"
184,"Phigaleia","Illyrikon","Hellas",18,"647,13","BA 58 B3"
185,"Messene","Illyrikon","Hellas",18,"647,14","BA 58 B3"
186,"Korone","Illyrikon","Hellas",18,"647,15","BA 58 B4"
187,"Asine","Illyrikon","Hellas",18,"647,16","BA 58 B4"
188,"Mothone","Illyrikon","Hellas",18,"647,17","BA 58 B4"
189,"Kyparissia","Illyrikon","Hellas",18,"648,1","BA 58 B3"
190,"Elis","Illyrikon","Hellas",18,"648,2","BA 58 A2"
191,"Patrai","Illyrikon","Hellas",18,"648,3","BA 58 B1"
192,"[Aigion]","Illyrikon","Hellas",18,"648,4","Copyist's error repeating 646,10 above"
193,"Nesos Kephallenia","Illyrikon","Hellas",18,"648,5","BA 54 B5"
194,"Panormos","Illyrikon","Hellas",18,"648,6","BA 54 C5"
195,"Nesos Zakynthos","Illyrikon","Hellas",18,"648,7","BA 54 inset"
196,"Nesos Kythera","Illyrikon","Hellas",18,"648,8","BA 58 inset"
197,"Nesos Mykonos","Illyrikon","Hellas",18,"648,9","BA 61 A3"
198,"Nesoi Strophades","Illyrikon","Hellas",18,"648,10","TIB Nikopolis 266"
199,"Nesos Kimolos","Illyrikon","Hellas",18,"648,11","BA 58 H4"
200,"Nesos Dorousa","Illyrikon","Hellas",19,"648,12","BA 58 E2 Pityonesos Ins.; TIB Hellas 149"
201,"Nesos Lemnos","Illyrikon","Hellas",19,"649,1","BA 56 A2"
202,"Nesos Imbros","Illyrikon","Hellas",19,"649,2","BA 51 F4"
