"uid","name","diocese","province","honigmann_page_number","hierokles_section_and_line_numbers","external_references"
359,"Hierapolis","Asiane","Phrygia Pakatiane",24,"665,2","BA 65 B2"
360,"Mossyna","Asiane","Phrygia Pakatiane",24,"665,3","BA 62 B5"
361,"Attouda","Asiane","Phrygia Pakatiane",24,"665,4","BA 65 A2"
362,"Trapezoupolis","Asiane","Phrygia Pakatiane",24,"665,5","BA 65 A2"
363,"Kolossai","Asiane","Phrygia Pakatiane",24,"666,1","BA 65 B2"
364,"Keretapa","Asiane","Phrygia Pakatiane",24,"666,2","BA 65 C2"
365,"Themisonion","Asiane","Phrygia Pakatiane",24,"666,3","BA 65 Unloc"
366,"Oualentia","Asiane","Phrygia Pakatiane",24,"666,4","BA 65 Unloc"
367,"Sanaos","Asiane","Phrygia Pakatiane",24,"666,5","BA 65 C2"
368,"Konioupolis","Asiane","Phrygia Pakatiane",24,"666,6","TIB Phrygien 312; Unloc"
369,"Titoupolis?","Asiane","Phrygia Pakatiane",24,"666,7","TIB Phrygien 384 Situpolis; Unloc"
370,"Krassos","Asiane","Phrygia Pakatiane",25,"667,1","TIB Phrygien 403; Unloc"
371,"Lounda","Asiane","Phrygia Pakatiane",25,"667,2","BA 65 B1"
372,"Peltai","Asiane","Phrygia Pakatiane",25,"667,3","TIB Phrygien 357; Unloc"
373,"Eumeneia","Asiane","Phrygia Pakatiane",25,"667,4","BA 62 C5"
374,"Siblia","Asiane","Phrygia Pakatiane",25,"667,5","BA 62 Unloc"
375,"Pepouza","Asiane","Phrygia Pakatiane",25,"667,6","BA 62 Unloc"
376,"Bria","Asiane","Phrygia Pakatiane",25,"667,7","BA 62 Unloc"
377,"Sebaste","Asiane","Phrygia Pakatiane",25,"667,8","BA 62 C5"
378,"Ilouza","Asiane","Phrygia Pakatiane",25,"667,9","BA 62 Unloc"
379,"Akmonia","Asiane","Phrygia Pakatiane",25,"667,10","BA 62 C4"
380,"Alinoi","Asiane","Phrygia Pakatiane",25,"668,1","Unloc"
381,"Sioucharax","Asiane","Phrygia Pakatiane",25,"668,2","BA 62 Unloc"
382,"Diokleia","Asiane","Phrygia Pakatiane",25,"668,3","BA 62 C4"
383,"Aristion","Asiane","Phrygia Pakatiane",25,"668,4","BA 62 Unloc"
384,"Kidyessos","Asiane","Phrygia Pakatiane",25,"668,5","BA 62 D4"
385,"Appia","Asiane","Phrygia Pakatiane",25,"668,6","BA 62 C3"
386,"Eudokias","Asiane","Phrygia Pakatiane",25,"668,7","BA 62 Unloc"
387,"Aizanoi","Asiane","Phrygia Pakatiane",25,"668,8","BA 62 C3"
388,"Tiberioupolis","Asiane","Phrygia Pakatiane",25,"668,9","BA 62 B3"
389,"Kadoi","Asiane","Phrygia Pakatiane",25,"668,10","BA 62 B3"
390,"Theodosiana","Asiane","Phrygia Pakatiane",25,"668,11","BA 62 Unloc"
391,"Ankyra","Asiane","Phrygia Pakatiane",25,"668,12","BA 62 A3"
392,"Synaos","Asiane","Phrygia Pakatiane",25,"668,13","BA 62 A3"
393,"Temenou Thyrai","Asiane","Phrygia Pakatiane",25,"668,14","BA 62 B4"
394,"Traianoupolis","Asiane","Phrygia Pakatiane",25,"668,15","BA 62 C4"
395,"Poulcheriopolis","Asiane","Phrygia Pakatiane",25,"668,16","BA 62 Unloc"
396,"Lydia","Asiane","Lydia",25,"669,1","BA 102 E4"
397,"Sardeis","Asiane","Lydia",25,"669,2","BA 56 G5"
398,"Philadelpheia","Asiane","Lydia",25,"669,3","BA 56 H5"
399,"Tripolis","Asiane","Lydia",25,"669,4","BA 65 A1"
400,"Thyateira","Asiane","Lydia",26,"669,5","BA 56 F4"
401,"Settai","Asiane","Lydia",26,"669,6","BA 62 A4 Saittai"
402,"Maionia","Asiane","Lydia",26,"670,1","BA 56 G4"
403,"Ioulianoupolis","Asiane","Lydia",26,"670,2","Unloc"
404,"Tralla","Asiane","Lydia",26,"670,3","BA 62 Tralleis; Unloc"
405,"Aurelioupolis","Asiane","Lydia",26,"670,4","BA 56 F4"
406,"Attaleia","Asiane","Lydia",26,"670,5","BA 56 F3"
407,"Hermokapelia","Asiane","Lydia",26,"670,6","BA 56 F4"
408,"Akrasos","Asiane","Lydia",26,"670,7","BA 56 Unloc"
409,"Apollonos Hieron","Asiane","Lydia",26,"670,8","BA 62 Unloc"
410,"Tabala","Asiane","Lydia",26,"670,9","BA 62 A4"
411,"Bageis","Asiane","Lydia",26,"671,1","BA 62 B4"
412,"Kerassai","Asiane","Lydia",26,"671,2","BA 56 Unloc"
413,"Mysotimolos","Asiane","Lydia",26,"671,3","RE; Unloc"
414,"Apollonis","Asiane","Lydia",26,"671,4","BA 56 F4"
415,"Hierokaisareia","Asiane","Lydia",26,"671,5","BA 56 F4"
416,"Mostene","Asiane","Lydia",26,"671,6","BA 56 F5"
417,"Satala","Asiane","Lydia",26,"671,7","BA 56 G4"
418,"Gordos","Asiane","Lydia",26,"671,8","BA 56 G4 Iulia Gordos"
419,"Pisidia","Asiane","Pisidia",26,"672,1","BA 102 F4"
420,"Antiocheia","Asiane","Pisidia",26,"672,2","BA 62 F5"
421,"Neapolis","Asiane","Pisidia",26,"672,3","BA 65 F2"
422,"Limenai","Asiane","Pisidia",26,"672,4","BA 65 Unloc"
423,"Sabinai","Asiane","Pisidia",26,"672,5","RE; Unloc"
424,"Atenia","Asiane","Pisidia",26,"672,6","TIB Phrygien 195 Atmenia; Unloc"
425,"Pappa","Asiane","Pisidia",26,"672,7","BA 65 G2"
426,"Siniandos","Asiane","Pisidia",26,"672,8","BA 65 Unloc"
427,"Laodikeia Kekaumene","Asiane","Pisidia",26,"672,9","BA 63 A4"
428,"Tyraion","Asiane","Pisidia",26,"672,10","BA 62 G5"
429,"Adrianoupolis","Asiane","Pisidia",27,"672,11","BA 62 G5"
430,"Philomelion","Asiane","Pisidia",27,"672,12","BA 62 F5"
431,"Sozopolis","Asiane","Pisidia",27,"673,1","BA 65 D1"
432,"Tymandos","Asiane","Pisidia",27,"673,2","BA 62 E5"
433,"Metropolis","Asiane","Pisidia",27,"673,3","BA 62 E5"
434,"Apameia","Asiane","Pisidia",27,"673,4","BA 65 D1"
435,"Eudoxiopolis","Asiane","Pisidia",27,"673,5","BA  65 Unloc"
436,"Sagalassos","Asiane","Pisidia",27,"673,6","BA 65 E2"
437,"Baris","Asiane","Pisidia",27,"673,7","BA 65 D2"
438,"Seleukeia He Sidera","Asiane","Pisidia",27,"673,8","BA 65 E2"
439,"Timbriada","Asiane","Pisidia",27,"673,9","BA 65 F2      The next line 674, 1 is blank"
440,"Ioustinianoupolis","Asiane","Pisidia",27,"674,2","BA 65 E2"
441,"Malos","Asiane","Pisidia",27,"674,3","BA 65 F2"
442,"Adada","Asiane","Pisidia",27,"674,4","BA 65 E2"
443,"Zorzela","Asiane","Pisidia",27,"674,5","BA 65 Dyrzela; Unloc"
444,"Tityassos","Asiane","Pisidia",27,"674,6","BA 65 F2"
445,"Lykaonia","Asiane","Lykaonia",27,"674,7","BA 102 F4"
446,"Ikonion","Asiane","Lykaonia",27,"675,1","BA 66 B1"
447,"Lystra","Asiane","Lykaonia",27,"675,2","BA 66 A1"
448,"Mistheia","Asiane","Lykaonia",27,"675,3","BA 65 G2"
449,"Amblada","Asiane","Lykaonia",27,"675,4","BA 65 G2"
450,"Ouasada","Asiane","Lykaonia",27,"675,5","BA 65 G2"
451,"Homanada","Asiane","Lykaonia",27,"675,6","Unloc; cf. BA 65 G3 Homonadeis"
452,"Ilistra","Asiane","Lykaonia",27,"675,7","BA 66 C2"
453,"Laranda","Asiane","Lykaonia",27,"675,8","BA 66 C2"
454,"Derbe","Asiane","Lykaonia",27,"675,9","BA 66 C2"
455,"Barata","Asiane","Lykaonia",27,"675,10","BA 66 C1"
456,"Hyde","Asiane","Lykaonia",27,"675,11","BA 66 D2"
457,"Isauropolis","Asiane","Lykaonia",27,"675,12","BA 66 A2 Isaura Vetus"
458,"Korna","Asiane","Lykaonia",27,"676,1","BA 66 A1"
459,"Sabatra","Asiane","Lykaonia",27,"676,2","BA 66 C1 Soatra"
460,"Perta","Asiane","Lykaonia",27,"676,3","BA 63 C4"
461,"Kana","Asiane","Lykaonia",28,"676,4","BA 66 C1"
462,"Gdanmaa","Asiane","Lykaonia",28,"676,5","TIB Galatien 166"
463,"Reginon","Asiane","Lykaonia",28,"676,6","TIB Galatien 219; Unloc"
464,"Phrygia Saloutaria","Asiane","Phrygia Saloutaria",28,"676,7","BA 102 F4"
465,"Eukarpia","Asiane","Phrygia Saloutaria",28,"676,8","BA 62 D5"
466,"Hierapolis","Asiane","Phrygia Saloutaria",28,"676,9","BA 62 D5"
467,"Otrous","Asiane","Phrygia Saloutaria",28,"676,10","BA 62 C5"
468,"Stektorion","Asiane","Phrygia Saloutaria",28,"677,1","BA 62 D5"
469,"Brouzos","Asiane","Phrygia Saloutaria",28,"677,2","BA 62 D4"
470,"Kleros Oreines","Asiane","Phrygia Saloutaria",28,"677,3","BA 62 Unloc"
471,"Kleros Politikes","Asiane","Phrygia Saloutaria",28,"677,4","BA 62 C4"
472,"Debalikia","Asiane","Phrygia Saloutaria",28,"677,5","BA 62 Unloc"
473,"Lysias","Asiane","Phrygia Saloutaria",28,"677,6","BA 62 Unloc"
474,"Synnada","Asiane","Phrygia Saloutaria",28,"677,7","BA 62 E4"
475,"Prymnessos","Asiane","Phrygia Saloutaria",28,"677,8","BA 62 E4"
476,"Ipsos","Asiane","Phrygia Saloutaria",28,"677,9","BA 62 E4"
477,"Polybotos","Asiane","Phrygia Saloutaria",28,"677,10","BA 62 F4"
478,"Dokimion","Asiane","Phrygia Saloutaria",28,"677,11","BA 62 E4"
479,"Metropolis","Asiane","Phrygia Saloutaria",28,"677,12","BA 62 E3"
480,"Meiros","Asiane","Phrygia Saloutaria",28,"677,13","BA 62 D3"
481,"Nakoleia","Asiane","Phrygia Saloutaria",28,"678,1","BA 62 E3"
482,"Dorylaion","Asiane","Phrygia Saloutaria",29,"678,2","BA 62 E2"
483,"Midaion","Asiane","Phrygia Saloutaria",29,"678,3","BA 62 E2"
484,"Demos Lykaonon","Asiane","Phrygia Saloutaria",29,"678,4","BA 62 Lykaones; Unloc"
485,"Demos Aurokla","Asiane","Phrygia Saloutaria",29,"678,5","BA 62 F4 Aurokra"
486,"Demos Amadassou","Asiane","Phrygia Saloutaria",29,"678,6","BA 62 Amadasse?; Unloc"
487,"Demos Praipenissos","Asiane","Phrygia Saloutaria",29,"678,7","BA 62 Praipenissos; Unloc"
488,"Pamphylia","Asiane","Pamphylia",29,"679,1","BA 102 F4"
489,"Perge","Asiane","Pamphylia",29,"679,2","BA 65 E4"
490,"Sillyon","Asiane","Pamphylia",29,"679,3","BA 65 E4"
491,"Magydos","Asiane","Pamphylia",29,"679,4","BA 65 E4"
492,"Attaleia","Asiane","Pamphylia",29,"679,5","BA 65 E4"
493,"Demos Olbianos","Asiane","Pamphylia",29,"679,6","BA 65 E4 Olbia"
494,"Trebenna","Asiane","Pamphylia",29,"679,7","BA 65 D4"
495,"Demos Onobara?","Asiane","Pamphylia",29,"679,8","BA 65 E4 *Ononbara"
496,"Iobia","Asiane","Pamphylia",29,"680,1","BA TIB Lykien 570, 744"
497,"Termessos","Asiane","Pamphylia",29,"680,2a","BA 65 D4"
498,"Eudokias","Asiane","Pamphylia",29,"680,2b","BA 65 E4"
499,"Demos Menedemiou","Asiane","Pamphylia",29,"680,3","TIB Lykien 730"
500,"Demos Pogla","Asiane","Pamphylia",29,"680,4","BA 65 D3 Pogla"
501,"Isinda","Asiane","Pamphylia",29,"680,5","BA 65 D3"
502,"Berbe","Asiane","Pamphylia",29,"680,6","BA 65 D3 *Ouerbe; TIB Lykien 483"
503,"Sibidounda","Asiane","Pamphylia",29,"680,7","BA 65 D3"
504,"Myodia","Asiane","Pamphylia",29,"680,8","TIB Lykia 740; Unloc"
505,"Choria Milyadika","Asiane","Pamphylia",29,"680,9","BA 65 D3"
506,"Olbasa","Asiane","Pamphylia",29,"680,10","BA 65 C3"
507,"Palaipolis","Asiane","Pamphylia",29,"680,11","TIB Lykien 772"
508,"Lysinia","Asiane","Pamphylia",29,"680,12","BA 65 D2"
509,"Komama","Asiane","Pamphylia",30,"680,13","BA 65 D3"
510,"Kolbasa","Asiane","Pamphylia",30,"681,1","BA 65 D3"
511,"Kremna","Asiane","Pamphylia",30,"681,2","BA 65 E2"
512,"Panemou Teichos","Asiane","Pamphylia",30,"681,3","BA 65 E3"
513,"Ariassos","Asiane","Pamphylia",30,"681,4","BA 65 D3"
514,"Maximianoupolis","Asiane","Pamphylia",30,"681,5","TIB Lykien 719"
515,"Ktema Maximianoupoleos","Asiane","Pamphylia",30,"681,6","TIB Lykien 720; Unloc"
516,"Regeon Salamara","Asiane","Pamphylia",30,"681,7","TIB Lykien 829; Unloc"
517,"Demos Obramoa?","Asiane","Pamphylia",30,"681,8","TIB Lykien 749; Unloc"
518,"Kodroula","Asiane","Pamphylia",30,"681,9","BA 65 D3"
519,"Demos Osia","Asiane","Pamphylia",30,"681,10","BA 65 E3 Sia; TIB Lykien 843 Sia"
520,"Demos Sabaon","Asiane","Pamphylia",30,"681,11","TIB Lykien 828 ; Unloc"
521,"Pednelissos?","Asiane","Pamphylia",30,"681,12","BA 65 E3"
522,"Selge","Asiane","Pamphylia",30,"681,13","BA 65 F3"
523,"Primoupolis","Asiane","Pamphylia",30,"682,1","BA 65 F4"
524,"Side","Asiane","Pamphylia",30,"682,2","BA 65 F4"
525,"Senna","Asiane","Pamphylia",30,"682,3","BA 65 G4 Sennea?; TIB Lykien 839 Sennea"
526,"Lyrbe","Asiane","Pamphylia",30,"682,4","BA 65 F4"
527,"Kasai","Asiane","Pamphylia",30,"682,5","BA 65 G4"
528,"Kotena","Asiane","Pamphylia",30,"682,6","BA 65 G3"
529,"Orymna","Asiane","Pamphylia",30,"682,7","BA 65 G3 Erymna"
530,"Korakesion","Asiane","Pamphylia",30,"682,8","BA 65 G4"
531,"Syedra","Asiane","Pamphylia",30,"682,9","BA 66 A4"
532,"Karaleia","Asiane","Pamphylia",30,"682,10","BA 65 G4"
533,"Kolybrassos","Asiane","Pamphylia",30,"682,11","BA 65 G4"
534,"Lykia","Asiane","Lykia",31,"682,12","BA 102 E4"
535,"Phaselis","Asiane","Lykia",31,"683,1","BA 65 E4"
536,"Olympos","Asiane","Lykia",31,"683,2","BA 65 D5"
537,"Gagai","Asiane","Lykia",31,"683,3","BA 65 D5"
538,"Korydalla","Asiane","Lykia",31,"683,3a","BA 65 D5"
539,"Akalessos","Asiane","Lykia",31,"683,4","BA 65 D4"
540,"Edebessos","Asiane","Lykia",31,"683,5","BA 65 D4 Idebessos"
541,"Limyra","Asiane","Lykia",31,"683,6","BA 65 D5"
542,"Arykanda","Asiane","Lykia",31,"683,7","BA 65 D4"
543,"Podaleia","Asiane","Lykia",31,"683,8","BA 65 D4"
544,"Choma","Asiane","Lykia",31,"683,9","BA 65 C4"
545,"Regeon Milyas","Asiane","Lykia",31,"684,1","BA 65 C4 Milyas"
546,"Myra","Asiane","Lykia",31,"684,2","BA 65 C5"
547,"Arneai","Asiane","Lykia",31,"684,3","BA 65 C5"
548,"Kyaneai","Asiane","Lykia",31,"684,4","BA 65 C5"
549,"Aperlai","Asiane","Lykia",31,"684,5","BA 65 C5"
550,"Phellos","Asiane","Lykia",31,"684,6","BA 65 C5"
551,"Antiphellos","Asiane","Lykia",31,"684,7","BA 65 C5"
552,"Kandyba","Asiane","Lykia",31,"684,8","BA 65 C5"
553,"Eudokias","Asiane","Lykia",31,"684,9","BA 65 Unloc Pyrrha; TIB Lykien 533"
554,"Patara","Asiane","Lykia",31,"684,10","BA 65 B5"
555,"Xanthos","Asiane","Lykia",31,"684,11","BA 65 B5"
556,"Komba","Asiane","Lykia",31,"684,12","BA 65 C4"
557,"Neisa","Asiane","Lykia",31,"684,13","BA 65 C5"
558,"Pinara","Asiane","Lykia",31,"684,14","BA 65 B5"
559,"Sidyma","Asiane","Lykia",31,"684,15","BA 65 B5"
560,"Tlos","Asiane","Lykia",31,"684,16","BA 65 B4"
561,"Telmessos","Asiane","Lykia",31,"684,17","BA 65 B4"
562,"Kaunos","Asiane","Lykia",31,"685,1","BA 65 A4"
563,"Araxa","Asiane","Lykia",31,"685,2","BA 65 B4"
564,"Boubon","Asiane","Lykia",31,"685,3","BA 65 B4"
565,"Oinoanda","Asiane","Lykia",31,"685,4","BA 65 C4"
566,"Balboura","Asiane","Lykia",31,"685,5","BA 65 C4"
567,"Kome Mastaura","Asiane","Lykia",32,"685,6","TIB Lykien 716"
568,"Nesoi","Asiane","Nesoi",32,"685,7","BA 102  E4"
569,"Rodos","Asiane","Nesoi",32,"686,1","BA 60 G3"
570,"Kos","Asiane","Nesoi",32,"686,2","BA 61 E4"
571,"Samos","Asiane","Nesoi",32,"686,3","BA 61 D2"
572,"Chios","Asiane","Nesoi",32,"686,4","BA 56 C5"
573,"Mytilene","Asiane","Nesoi",32,"686,5","BA 56 D3"
574,"Methymna","Asiane","Nesoi",32,"686,6","BA 56 C3"
575,"Petalon?","Asiane","Nesoi",32,"686,7","Unloc (copyist's slip ?); TIB Aigaion Pelagos 73 n. 18"
576,"Tenedos","Asiane","Nesoi",32,"686,8","BA 56 C2"
577,"Poroselene","Asiane","Nesoi",32,"686,9","BA 56 D3"
578,"Andros","Asiane","Nesoi",32,"686,10","BA 60 A4"
579,"Tenos","Asiane","Nesoi",32,"686,11","BA 60 B4"
580,"Naxos","Asiane","Nesoi",32,"686,12","BA 61 A3"
581,"Paros","Asiane","Nesoi",32,"686,13","BA 61 A3"
582,"Siphnos","Asiane","Nesoi",32,"687,1","BA 60 C5"
583,"Melos","Asiane","Nesoi",32,"687,2","BA 58 G4"
584,"Ios","Asiane","Nesoi",32,"687,3","BA 61 A4"
585,"Thera","Asiane","Nesoi",32,"687,4","BA 61 A5"
586,"Amorgos","Asiane","Nesoi",32,"687,5","BA 61 B4"
587,"Astypalaia","Asiane","Nesoi",32,"687,6","BA 61 C4"
588,"Karia","Asiane","Karia",32,"687,7","BA 102 E4"
589,"Miletos","Asiane","Karia",32,"687,8","BA 61 E2"
590,"Herakleia Latmou","Asiane","Karia",32,"687,9","BA 61 F2"
591,"Halikarnassos","Asiane","Karia",32,"687,10","BA 61 E3"
592,"Myndos","Asiane","Karia",32,"687,11","BA 61 E3"
593,"Knidos","Asiane","Karia",32,"687,12","BA 61 E4"
594,"Keramos","Asiane","Karia",33,"687,13","BA 61 F3"
595,"Mylasa","Asiane","Karia",33,"687,14","BA 61 F3"
596,"Stratonikeia","Asiane","Karia",33,"688,1","BA 61 G3"
597,"Amyzon","Asiane","Karia",33,"688,2","BA 61 F2"
598,"Alinda","Asiane","Karia",33,"688,3","BA 61 F2"
599,"Alabanda","Asiane","Karia",33,"688,4","BA 61 F2"
600,"Orthosia","Asiane","Karia",33,"688,5","BA 61 G2"
601,"Harpasa","Asiane","Karia",33,"688,6","BA 61 G2"
602,"Neapolis","Asiane","Karia",33,"688,7","BA 61 G2"
603,"Hyllarima","Asiane","Karia",33,"688,8","BA 61 G2"
604,"Antiocheia","Asiane","Karia",33,"688,9","BA 65 A2"
605,"Aphrodisias","Asiane","Karia",33,"688,10","BA 65 A2"
606,"Herakleia Salbakes","Asiane","Karia",33,"688,11","BA 65 A2"
607,"Tabai","Asiane","Karia",33,"689,1","BA 65 A3"
608,"Apollonias","Asiane","Karia",33,"689,2","BA 65 B2 Apollonia Salbakes"
609,"Sebastopolis","Asiane","Karia",33,"689,3","BA 65 B3"
610,"Iasos","Asiane","Karia",33,"689,4","BA 61 F3"
611,"Eriza","Asiane","Karia",33,"689,5","BA 65 Unloc"
612,"Markianoupolis","Asiane","Karia",33,"689,6","Robert, La Carie II, 338 n. 4; Unloc"
613,"Anastasioupolis","Asiane","Karia",33,"689,7","Hild, Meilensteine 29"
614,"Choria Patrimonialia","Asiane","Karia",33,"689,8","Hild, Meilensteine 9; Unloc"
615,"Kibyra","Asiane","Karia",33,"690,1","BA 65 B3"
616,"Komai Ktematikai?","Asiane","Karia",33,"690,2","Hild, Meilensteine 9; Unloc"
617,"Pontike","Pontike",,33,"690,3a","BA 102 F3"
618,"Bithynia","Pontike","Bithynia",33,"690,3b","BA 102 E3"
619,"Chalkedon","Pontike","Bithynia",33,"690,4","BA 52 E3"
620,"Helenopolis","Pontike","Bithynia",33,"691,1","BA 52 F3"
621,"Prainetos","Pontike","Bithynia",33,"691,2","BA 52 F3"
622,"Nikomedeia","Pontike","Bithynia",33,"691,3","BA 52 F3"
623,"Nikaia","Pontike","Bithynia",33,"692,1","BA 52 F4"
624,"Basilinopolis","Pontike","Bithynia",33,"692,2","BA 52 F3"
625,"Kios","Pontike","Bithynia",33,"692,3","BA 52 E4"
626,"Apameia","Pontike","Bithynia",33,"692,4","BA 52 D4"
627,"Prousa","Pontike","Bithynia",34,"692,5","BA 52 E4"
628,"Kaisareia","Pontike","Bithynia",34,"693,1","BA 52 D4"
629,"Apollonia","Pontike","Bithynia",34,"693,2","BA 52 D4"
630,"Daskylion","Pontike","Bithynia",34,"693,3","BA 52 D4"
631,"Neokaisareia","Pontike","Bithynia",34,"693,4","BA 62 Unloc"
632,"Adrianoi","Pontike","Bithynia",34,"693,5","BA 62 A2"
633,"Regeon Tataion","Pontike","Bithynia",34,"694,1","BA 52 G4 Tattaios"
634,"Regeon Doris","Pontike","Bithynia",34,"694,2","BA 86 A3"
635,"Honorias","Pontike","Honorias",34,"694,3","BA 102 F3"
636,"Klaudioupolis","Pontike","Honorias",34,"694,4","BA 86 B3"
637,"Prousias","Pontike","Honorias",34,"694,5","BA 86 B3"
638,"Herakleia","Pontike","Honorias",34,"694,6","BA 86 B2"
639,"Tios","Pontike","Honorias",34,"695,1","BA 86 C2"
640,"Krateia","Pontike","Honorias",34,"695,2","BA 86 C3"
641,"Adrianoupolis","Pontike","Honorias",34,"695,3","BA 86 C3"
642,"Paphlagonia","Pontike","Paphlagonia",34,"695,4","BA 102 F3"
643,"Gangra","Pontike","Paphlagonia",34,"695,5","BA 86 D3"
644,"Pompeioupolis","Pontike","Paphlagonia",34,"695,6","BA 86 E2"
645,"Sora","Pontike","Paphlagonia",34,"695,7","BA 86 C2"
646,"Amastris","Pontike","Paphlagonia",34,"696,1","BA 86 C2"
647,"Ionopolis","Pontike","Paphlagonia",34,"696,2","BA 86 D2"
648,"Dadybra","Pontike","Paphlagonia",34,"696,3","BA 86 B2"
649,"Galatia I","Pontike","Galatia I",34,"696,4","BA 102 F3"
650,"Ankyra","Pontike","Galatia I",34,"696,5","BA 63 B1"
651,"Tabia","Pontike","Galatia I",34,"696,6","BA 63 F1"
652,"Aspona","Pontike","Galatia I",34,"696,7","BA 63 C2"
653,"Kinna","Pontike","Galatia I",35,"696,8","BA 63 C2"
654,"Regeon Lagania","Pontike","Galatia I",35,"696,9","BA 62 H2"
655,"Regeon Mnizos","Pontike","Galatia I",35,"697,1","BA 86 C3"
656,"Ioulioupolis","Pontike","Galatia I",35,"697,2","BA 86 B3"
657,"Galatia Saloutaria","Pontike","Galatia Saloutaria",35,"697,3","BA 102 F4"
658,"Pessinous","Pontike","Galatia Saloutaria",35,"697,4","BA 62 G3"
659,"Regeon Myrikion?","Pontike","Galatia Saloutaria",35,"697,5","BA 63 A2"
660,"Pitinissos","Pontike","Galatia Saloutaria",35,"697,6","BA 63 Petenissos; Unloc"
661,"Amorion","Pontike","Galatia Saloutaria",35,"697,7","BA 62 F3"
662,"Klaneos","Pontike","Galatia Saloutaria",35,"697,8","BA 62 G4"
663,"Regeon Troknadon","Pontike","Galatia Saloutaria",35,"698,1","BA 62 F2"
664,"Eudoxias","Pontike","Galatia Saloutaria",35,"698,2","BA 62 G3"
665,"Myrikion","Pontike","Galatia Saloutaria",35,"698,3","Duplicates Regeon Myrikion at 697,5; TIB Galatien 208"
666,"Germia","Pontike","Galatia Saloutaria",35,"698,4","BA 62 G3"
667,"Kappadokia I","Pontike","Kappadokia I",35,"698,5","BA 102 F4"
668,"Kaisareia","Pontike","Kappadokia I",35,"698,6","BA 64 A3"
669,"Nyssa","Pontike","Kappadokia I",35,"699,1","BA 63 D3"
670,"Therma","Pontike","Kappadokia I",36,"699,2","BA 63 G2 Basilika Therma"
671,"Regeon Podandos","Pontike","Kappadokia I",36,"699,3","BA 66 F2"
672,"Kappadokia II","Pontike","Kappadokia II",36,"700,1","BA 102 F4"
673,"Tyana","Pontike","Kappadokia II",36,"700,2","BA 66 F1"
674,"Phaustinopolis","Pontike","Kappadokia II",36,"700,3","BA 66 F1"
675,"Kybistra","Pontike","Kappadokia II",36,"700,4","BA 66 E1"
676,"Nazianzos","Pontike","Kappadokia II",36,"700,5","BA 63 E4"
677,"Sasima","Pontike","Kappadokia II",36,"700,6","BA 63 F4"
678,"Parnassos","Pontike","Kappadokia II",36,"700,7","BA 63 D2"
679,"Regeon Doara","Pontike","Kappadokia II",36,"700,8","BA 63 E4"
680,"Regeon Moukissos","Pontike","Kappadokia II",36,"701,1","BA 63 E4 Mokissos"
681,"Helenopontos","Pontike","Kappadokia II",37,"701,2","BA 102 G3"
682,"Amaseia","Pontike","Kappadokia II",37,"701,3","BA 87 A4"
683,"Ibora","Pontike","Kappadokia II",37,"701,4","BA 87 B4"
684,"Zela","Pontike","Kappadokia II",37,"701,5","BA 87 A4"
685,"Salton Zalichion","Pontike","Kappadokia II",37,"701,6","BA 87 A3"
686,"Andrapa","Pontike","Kappadokia II",37,"701,7","BA 87 A3"
687,"Amisos","Pontike","Kappadokia II",37,"702,1","BA 87 B3"
688,"Sinope","Pontike","Kappadokia II",37,"702,2","BA 87 A2"
689,"Pontos Polemoniakos       37","Pontike","Pontos Polemoniakos       37",,"702,3","BA 102 G3"
690,"Neokaisareia","Pontike","Pontos Polemoniakos       37",37,"702,4","BA 87 B4"
691,"Komana","Pontike","Pontos Polemoniakos       37",37,"702,5","BA 87 B4"
692,"Polemonion","Pontike","Pontos Polemoniakos       37",37,"702,6","BA 87 C3"
693,"Kerasous","Pontike","Pontos Polemoniakos       37",37,"702,7","BA 87 D4"
694,"Trapezous","Pontike","Pontos Polemoniakos       37",37,"702,8","BA 87 E4"
695,"Armenia I","Pontike","Armenia I",37,"702,9","BA 102 G4"
696,"Sebasteia","Pontike","Armenia I",37,"703,1","BA 64 E1"
697,"Nikopolis","Pontike","Armenia I",37,"703,2","BA 87 D4"
698,"Koloneia","Pontike","Armenia I",37,"703,3","BA 87 D4"
699,"Satala","Pontike","Armenia I",37,"703,4","BA 89 B1"
700,"Sebastoupolis","Pontike","Armenia I",37,"703,5","BA 64 C1"
701,"Armenia II","Pontike","Armenia II",37,"703,6","BA 102 G4"
702,"Melitene","Pontike","Armenia II",37,"703,7","BA 64 G4"
703,"Arka","Pontike","Armenia II",37,"703,8","BA 64 F4"
704,"Arabissos","Pontike","Armenia II",37,"703,9","BA 64 D4"
705,"Koukousos","Pontike","Armenia II",37,"703,10","BA 64 C4"
706,"Komana","Pontike","Armenia II",37,"703,11","BA 64 C4"
707,"Ariaratheia","Pontike","Armenia II",37,"703,12","BA 64 C3"
708,"Anatolike","Anatolike",,37,"704,1a","BA 102 F5"
709,"Kilikia I","Anatolike","Kilikia I",37,"704,1b","BA 102 F4"
710,"Tarsos","Anatolike","Kilikia I",37,"704,2","BA 66 F3"
711,"Pompeioupolis","Anatolike","Kilikia I",37,"704,3","BA 66 F3"
712,"Sebaste","Anatolike","Kilikia I",37,"704,4","BA 66 E4"
713,"Korykos","Anatolike","Kilikia I",37,"704,5","BA 66 E4"
714,"Adana","Anatolike","Kilikia I",37,"704,6","BA 66 G3"
715,"Augousta","Anatolike","Kilikia I",37,"704,7","BA 66 G2"
