"X","Y","id","title","uid","hollow","type","diocese","province","honigmann_page_number","hierokles_section_and_line_numbers","external_references"
"22.042253543299999","40.429790773199997","0","Eordaia","69","\N","place","Illyrikon","Makedonia I","14","638,7","BA 50 A3"
"22.057183999999999","40.797176","491585","Edessa","70","\N","place","Illyrikon","Makedonia I","14","638,8","BA 50 B3"
"25.249064544300001","42.237601390599998","0","Kellai","71","\N","place","Illyrikon","Makedonia I","14","638,9","BA 22 C6 Cillis?"
"21.3685289529","41.021553814500002","0","Herakleia Lynkou","74","\N","place","Illyrikon","Makedonia I","14","639,1","BA 49 D2"
"21.265539931900001","41.078894859000002","0","Nikaia?","77","\N","place","Illyrikon","Makedonia I","14","639,3","BA 49 D2 Nicia"
"22.754283999999998","41.382427999999997","491573","Doberos","78","\N","place","Illyrikon","Makedonia I","14","639,4","BA 50 C2"
"22.498913000000002","41.284255999999999","491586","Idomene","79","\N","place","Illyrikon","Makedonia I","14","639,5","BA 50 B2"
"22.855650665799999","41.008974893100003","0","Bragylos","80","\N","place","Illyrikon","Makedonia I","14","639,6","BA 50 C2 Bragylai"
"23.277847999999999","41.561118999999998","491683","Paroikopolis","82","\N","place","Illyrikon","Makedonia I","14","639,8","BA 50 D1"
"23.3024341273","41.290157782999998","0","Herakleia Strymonos","83","\N","place","Illyrikon","Makedonia I","15","639,9","BA 50 D2"
"23.542452999999998","41.087975","501616","Serrai","84","\N","place","Illyrikon","Makedonia I","15","639,10","BA 51 B2 Sirra"
"24.334510999999999","41.025179999999999","501564","Philippoi","85","\N","place","Illyrikon","Makedonia I","15","640,1","BA 51 C2"
"23.847445","40.820354000000002","501347","Amphipolis","86","\N","place","Illyrikon","Makedonia I","15","640,2","BA 51 B3"
"23.482784708000001","40.647618031599997","0","Apollonia","87","f","place","Illyrikon","Makedonia I","15","640,3","BA 50 D3"
"24.415015","40.935040000000001","501523","Neapolis","88","\N","place","Illyrikon","Makedonia I","15","640,4","BA 51 C3"
"23.880112","40.399749999999997","501339","Akanthos","89","\N","place","Illyrikon","Makedonia I","15","640,5","BA 51 B4"
