"x","y","id","title","uid","hollow","type"
23.1694372363,38.6153114165,0,"Boumelita",144,,"place"
23.1528615,38.295831,541141,"Thespiai",145,,"place"
23.103147,38.555375,540823,"Hyettos",146,,"place"
22.967793,38.2608866667,541146,"Thisbai",147,,"place"
23.317799,38.319076,541138,"Thebai",148,,"place"
23.581173,38.3001983333,580114,"Tanagra",149,,"place"
21.6144612857,38.3473067213,0,"Chalkis",150,,"place"
24.0617456867,38.3948314105,0,"Porthmos",151,,"place"
24.420381,38.016541,570336,"Karystos",152,,"place"
23.273345,38.221257,541063,"Plataiai",153,,"place"
23.2294868,38.1497606,570051,"Aigosthena",154,,"place"
23.7239851818,37.9727465455,579885,"Athenai",155,,"place"
23.340163,37.985078,570468,"Megara",156,,"place"
23.197116,38.084923,570543,"Pagai",157,,"place"
23.1367200653,37.9287218047,0,"Krommyon",158,,"place"
23.4937185315,37.7338489055,0,"Aigina Nesos",159,,"place"
23.1688341852,37.260727652,0,"Pityoussa",160,,"place"
24.3073888263,37.5794559678,0,"Kea",161,,"place"
24.429784,37.412293,570402,"Kythnos",162,,"place"
25.271111,37.393333,599588,"Delos",163,,"place"
24.565356,38.902984,541108,"Skyros",164,,"place"
23.51,37.93,580101,"Salamis Nesos",165,,"place"
22.879189,37.906033,570182,"Korinthos",166,,"place"
22.7108171,37.808904,570504,"Nemea",167,,"place"
22.7168885,37.982299,570668,"Sikyon",168,,"place"
22.377887,38.1297925,570043,"Aigeira",169,,"place"
22.081952,38.252707,570049,"Aigion",170,,"place"
23.3696045,37.5839485,570482,"Methana",171,,"place"
23.362444,37.496395,570756,"Troizen",172,,"place"
23.16015635,37.6334625,570228,"Epidauros",173,,"place"
23.243591,37.385218,570292,"Hermione",174,,"place"
22.719464,37.631561,570106,"Argos",175,,"place"
22.420672,37.455301,570707,"Tegea",176,,"place"
21.87884,37.710489,570722,"Thelpousa",177,,"place"
22.393259,37.618138,570459,"Mantineia",178,,"place"
22.5012053333,37.0485586667,570406,"Lakedaimon",179,,"place"
22.706912,36.992193,570263,"Geronthrai",180,,"place"
22.2805645,37.029321,570591,"Pharis",181,,"place"
22.854554,36.73044,570129,"Asopos",182,,"place"
22.785366,36.794176,570058,"Akreai",183,,"place"
21.839109,37.39629,570598,"Phigaleia",184,,"place"
21.920439,37.175491,570479,"Messene",185,,"place"
21.927944,36.954171,570371,"Korone",186,,"place"
21.9256285507,36.797385545,0,"Asine",187,,"place"
21.705878,36.81618,570483,"Mothone",188,,"place"
21.681159,37.248527,570397,"Kyparissia",189,,"place"
21.3647711527,37.8865024614,0,"Elis",190,,"place"
21.738518,38.243265,570567,"Patrai",191,,"place"
20.59,38.2,530826,"Nesos Kephallenia",193,,"place"
20.5596397266,38.454448006,0,"Panormos",194,,"place"
20.76,37.77,531155,"Nesos Zakynthos",195,,"place"
22.9768267917,36.2324498864,0,"Nesos Kythera",196,,"place"
25.328619,37.445959,599807,"Nesos Mykonos",197,,"place"
21.00743968,37.2529449228,0,"Nesoi Strophades",198,,"place"
24.55,36.8,589868,"Nesos Kimolos",199,,"place"
23.3363962997,37.6895689788,0,"Nesos Dorousa",200,,"place"
25.25,39.916667,550693,"Nesos Lemnos",201,,"place"
25.844444,40.160833,501439,"Nesos Imbros",202,,"place"
24.9469437222,35.0627201667,589796,"Gortyna",204,,"place"
25.283734,34.987826,589819,"Einatos",205,,"place"
25.402881,35.060832,589730,"Bienna",206,,"place"
25.7387505,35.0095285,589807,"Hierapydna",207,,"place"
25.71726,35.190776,589900,"Kamara",208,,"place"
25.7126458178,35.2935332825,0,"Allyngos",209,,"place"
25.388567,35.319165,589744,"Chersonesos",210,,"place"
25.37034,35.212883,589918,"Lyktos",211,,"place"
25.282439,35.080331,589710,"Arkadia",212,,"place"
25.163106,35.297847,589872,"Knosos",213,,"place"
24.639291,35.25874,590063,"Soubritos",214,,"place"
24.840106,35.302424,590095,"Oaxos",215,,"place"
24.663544,35.33867,589772,"Eleutherna",216,,"place"
24.3408866618,35.2877899537,0,"Lampe",217,,"place"
24.1449764,35.46477025,589704,"Aptera",218,,"place"
24.01869,35.515775,589886,"Kydonia",219,,"place"
23.660727,35.495307,589870,"Kisamos",220,,"place"
23.738349,35.330337,589838,"Kantanos",221,,"place"
23.794048,35.283178,589776,"Elyros",222,,"place"
23.78963,35.247257,589914,"Lissos",223,,"place"
24.0775338664,35.2009158323,0,"Phoinike",224,,"place"
24.060291,35.22746,589705,"Araden",225,,"place"
24.083333,34.833333,589858,"Kaudos Nesos",226,,"place"
20.735953,39.023389,531013,"Nikopolis",228,,"place"
20.787767,39.546432,530843,"Dodone",229,,"place"
20.6083789593,39.3373755403,0,"Euroia Akniou",230,,"place"
20.2226798347,39.9952771714,530885,"Adrianoupolis",231,,"place"
20.056564,39.913912,531061,"Phoinike",233,,"place"
20.012311,39.876177,531019,"Anchiasmos",234,,"place"
20.02213975,39.74547525,530824,"Bouthrotos",235,,"place"
20.496254,39.482048,531064,"Photike",236,,"place"
19.75,39.666667,530835,"Kerkyra Nesos",237,,"place"
20.71,38.34,530906,"Ithake Nesos",238,,"place"
19.444876,41.316435,481865,"Dyrrachion",240,,"place"
20.092646,41.116775,481982,"Skampa",241,,"place"
19.462878,40.7339195,481728,"Apollonia",242,,"place"
